sku_name;price;sold;page;keyword;gmv_estimation
Buah Nanas Honi Sunpride Super Pineapple Manis Fresh Tak Gatal 1kg+ - 1pcs;19975;0;5;Matoa;0
MATOFOL TRISTAR ( Pupuk An.Organik) - 500 ml;62800;0;5;Matoa;0
Sayur Gori Nangka Santan/Jangan Tewel;31500;30;5;Matoa;945000
Bibit Tanaman Buah Kelengkeng Matoa Island Lychee;45000;5;5;Matoa;225000
Terlaris Bibit Tanaman Buah Matoa Unggul HASIL Cangkok/Sambung;32000;0;5;Matoa;0
Bibit Tanaman Buah Matoa Super Okulasi Stek Cangkok MM151;15000;0;5;Matoa;0
bibit tanaman buah matoa unggul benih pohon di dalam pot tabulampot;8500;5;5;Matoa;42500
buah matoa manis dan fresh/500gram;55000;0;5;Matoa;0
Matoa Manis Buah Segar ;55000;1;5;Matoa;55000
Murah promo 5 bibit tanaman buah matoa merah / matoa hijau super;173000;0;5;Matoa;0
🥨 Buah Matoa Papua 3Rasa Duren+Rambutan+Klengkeng Harga Grosir 250gr;22000;0;5;Matoa;0
Buah Matoa segar-buah langka;50000;18;5;Matoa;900000
Buah Matoa papua perpaduan rasa lengkeng rambutan durian dan leci - kg;69000;5;5;Matoa;345000
Buah kelapa kopyor genjah segar murah langsung dari pohon sendiri;35000;90;5;Matoa;3150000
buah naga merah;38000;23;5;Matoa;874000
buah naga;39000;100;5;Matoa;3900000
GROSIR.! ( 10kg ) MANGGA HARUM MANIS BESAR / MATANG POHON / BUAH SEGAR;400000;30;5;Matoa;12000000
Buah Jeruk Keprok Batu 55 / B-55 - 250 gram;36879;0;5;Matoa;0
Bibit Buah Matoa Super Tinggi 1 Meter - Bibit Matoa unggulan;11400;7;5;Matoa;79800
matoa 300gr;38900;1;5;Matoa;38900
Bibit buah matoa merah jumbo sambung;60000;0;5;Matoa;0
SALE!! BIBIT TANAMAN BUAH MATOA CANGKOK/ BIJI CEPAT BERBUAH;142000;0;5;Matoa;0
POOLLL Bibit Buah Matoa - Tanaman Buah Mirip lengkeng MM151;15000;0;5;Matoa;0
Bibit Tanaman Pohon Buah Matoa-Tinggi 100cm;65000;0;5;Matoa;0
Diskon Bibit Matoa Merah 1,5M;310000;0;5;Matoa;0
Terlaris Bibit Buah Red Matoa Asal Papua 2 Meter Up;562000;0;5;Matoa;0
Bibit Tanaman Buah Matoa Kelapa Unggul Agro Wisatani KBIB13 NEW;29000;0;5;Matoa;0
Bibit Tanaman Buah Matoa-Bibit Matoa Cangkok Okulasi Hasil Sambung -;15000;0;5;Matoa;0
Buah matoa 1kg manis / buah matoa Papua 3 rasa;30000;4;5;Matoa;120000
Pohon Matoa Cangkok-Bibit Tanaman Buah Matoa Cangkok;35000;0;5;Matoa;0
Terlaris Bibit Matoa Jumbo Super Unggul Cepat Berbuah;14000;0;5;Matoa;0
Bibit Tanaman Buah Matoa Merah Cangkok-Pohon Matoa Merah Hasil Cangkok;15000;0;5;Matoa;0
Ready buah matoa fresh 1 kg Ready ya kak;2310000;0;5;Matoa;0
bibit tanaman buah matoa kualitas unggul;23900;14;5;Matoa;334600
Terlaris Bibit Tanaman Buah Matoa cepat berbuah okulasi cepat berbuah;24000;1;5;Matoa;24000
BIBIT TANAMAN POHON BUAH MATOA SIAP BERBUAH MMM;25000;1;5;Matoa;25000
BIBIT TANAMAN BUAH MATOA MERAH VALID manteb SEGAR fres EE12;25000;1;5;Matoa;25000
buah matoa segar;15000;0;5;Matoa;0
New Bibit Matoa Merah 1,5M Top Quality;360000;0;5;Matoa;0
Bibit Tanaman Buah Matoa-Bibit Matoa-Bibit Matoa Cangkok Okulasi -BB1;16000;0;5;Matoa;0
Buah Matoa Super Fresh 1kg;65000;17;5;Matoa;1105000
Buah Matoa Madu | Matoa Madu Manis 500 Grm;55800;3;5;Matoa;167400
Bibit pohon matoa tinggi 30cm;29000;100;5;Matoa;2900000
Bibit Tanaman buah Matoa siap berbuah;40000;0;5;Matoa;0
Terlaris bibit tanaman buah matoa okulasi super unggul LARIS;15000;1;5;Matoa;15000
Diskon Bibit Matoa Tinggi 2 Meter;235000;0;5;Matoa;0
Miliki Pohon Matoa Tinggi 2 Meter;490000;0;5;Matoa;0
Buah Matoa 500gr;55900;0;5;Matoa;0
Bibit Tanaman Buah Matoa;42500;21;5;Matoa;892500
BUAH MATOA FRESH RASA DURIAN;40000;0;5;Matoa;0
LITAS Bibit Tanaman Buah Matoa Merah PM14 MM151;18000;0;5;Matoa;0
bibit buah matoa okulasi;40000;0;5;Matoa;0
BARANG TERLARIS BIBIT MATOA MERAH 1,5M READYY;280000;0;5;Matoa;0
Kelapa Kopyor Genjah Super TEBAL Fresh Segar Murah READY STOK - S - S;45000;50;5;Matoa;2250000
Bibit Alpukat mentega jumbo;17000;1000;5;Matoa;17000000
Bibit Kelengkeng New Kristal Hasil Okulasi Cepat Berbuah;45000;6;5;Matoa;270000
bibit alpukat mentega jumbo;400000;0;5;Matoa;0
Bibit Leci Bhiwa Biwa Hasil Okulasi Unggul Cepat Berbuah;50000;0;5;Matoa;0
Buah Matoa Fresh 500 Gram;32000;100;4;Matoa;3200000
Buah Matoa dari Papua 3rasa Duren-Klengkeng-Rambutan Murah Fresh 250gr;13255;2000;4;Matoa;26510000
Matoa Manis - 500 gram;32500;50;4;Matoa;1625000
buah matoa 1 kg - MIX;67000;100;4;Matoa;6700000
Pupuk Matoa Organik Booster Matoa Pemacu Cepat Berbuah Lebat;23000;70;4;Matoa;1610000
Bibit Tanaman Buah Matoa Merah Cangkok-Pohon Matoa Merah Hasil Cangkok;35000;4;4;Matoa;140000
buah matoa super manis dan banyak air/buah langka/kg;119500;3;4;Matoa;358500
Bibit Tanaman Matoa Jumbo Super Unggul Cepat Berbuah;15000;0;4;Matoa;0
Bibit buah matoa hasil cangkok / sambung;37000;0;4;Matoa;0
buah matoa fresh 1 kg;40000;0;4;Matoa;0
Bibit Tanaman Buah Matoa Cepat Berbuah Okulasi;30000;0;4;Matoa;0
buah matoa 500gr;36000;0;4;Matoa;0
Pupuk Matoa Booster, Pupuk Organik Tanaman Buah, Penyubur Bibit Buah;35000;14;4;Matoa;490000
Bibit matoa;14500;15;4;Matoa;217500
rambutan rapiah 1kg;37050;50;4;Matoa;1852500
Paket 4 Bibit Tanaman Matoa Papua Cangkok -Pohon Buah Matoa Asli Papua;100000;1;4;Matoa;100000
bibit pohon matoa 70cm up / lengkeng irian buah matoa;35000;19;4;Matoa;665000
Buah Matoa Segar Perpack ;65000;1;4;Matoa;65000
